Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit
ORD006312,2023-05-19,CUST0260,Timothy Nori,South,Books,Excel for Beginners,3.0,671.24,0.0,2013.72,689.84
ORD008688,2023-05-20,CUST0223,Aarini Dugar,East,Furniture,Wooden Study Table,3.0,21336.22,0.0,64008.66,16168.33
ORD007579,2023-07-30,CUST0258,Sanaya Khalsa,North,Sports,Running Shoes,1.0,649.49,0.3,454.64,126.47
ORD004768,2023-04-01,CUST0037,Janani Sawhney,West,Furniture,Shoe Rack,4.0,41779.66,0.2,133694.91,39801.41
ORD006089,2023-07-30,CUST0044,Advay Nadig,North,Toys,Board Game Monopoly,5.0,3035.91,0.05,14420.57,2873.99
ORD004604,2023-05-27,CUST0221,Naveen Dass,South,Electronics,4K Smart TV,4.0,25815.94,0.05,98100.57,11250.48
ORD007001,2023-03-31,CUST0435,Ekalinga Chowdhury,East,Toys,LEGO City Set,5.0,2120.52,0.0,10602.6,3680.74
ORD005992,2023-01-16,CUST0266,Tanay Sane,East,Groceries,Sunflower Oil 1L,4.0,496.51,0.0,1986.04,198.32
ORD000840,2023-06-27,CUST0113,Harita Chaudhari,NORTH,Sports,Gym Gloves,2.0,4112.32,0.15,6990.94,1727.97
ORD003889,2023-05-15,CUST0306,Aahana Agarwal,West,Sports,Jump Rope,1.0,5036.18,0.0,5036.18,829.34
ORD007133,2023-04-28,CUST0020,Neelima Menon,East,Toys,Action Figure Pack,2.0,3890.76,0.0,7781.52,1530.84
ORD000527,2023-03-02,CUST0134,Hemang Bhavsar,West,Groceries,Oats 1kg,1.0,464.5,0.3,325.15,23.12
ORD005911,2023-02-05,CUST0043,Zayan Swaminathan,South,Toys,Science Kit,1.0,2673.16,0.2,2138.53,687.74
ORD008514,2023-05-13,CUST0280,Chandani Narayanan,East,Toys,Building Blocks,3.0,1282.2,0.1,3461.94,768.16
ORD007107,2023-02-13,CUST0155,Harini Kurian,South,Clothing,Salwar Kameez,5.0,3252.43,0.0,16262.15,6006.11
ORD008076,2023-06-30,CUST0441,Gagan Garg,West,Books,Data Science Handbook,4.0,974.99,0.0,3899.96,979.82
ORD007952,2023-11-20,CUST0313,Nikita Kala,South,Toys,Remote Control Car,4.0,500.56,0.3,1401.57,478.78
ORD001486,2023-08-19,CUST0162,Yamini Wadhwa,North,Groceries,Sunflower Oil 1L,2.0,679.76,0.0,1359.52,92.69
